user_profile,a-profile-avatar,user_name,original_comment_link,score,title,product_color,a-link-normal href 2,a-size-mini 3,a-base 3,review-comment-total,a-link-normal,a-link-normal href 3,a-link-normal 2,a-link-normal href 4
https://www.amazon.fr/gp/profile/amzn1.account.AEQRMOTTIKZ3AZY42FZZ25O3SSFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Pascal GILBERT,https://www.amazon.fr/gp/customer-reviews/R24VBH3FB5FK1C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"2,0 sur 5 étoiles","Bon, ben c'est Echo 2 quoi...",Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,355 personnes ont trouvé cela utile,3,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AH44K4UO7T7X32QSSTQ4XESIDQTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Rosie,https://www.amazon.fr/gp/customer-reviews/ROITX4I4UAPXO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Très bien. Alexa devient vite le bras droit d'une maman débordée.,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,323 personnes ont trouvé cela utile,2,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AGPTPF2Z4YMBTUTHGYYMNHX5SQAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Frédéric B.,https://www.amazon.fr/gp/customer-reviews/R2VC9GFVXMB4LG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Superbe expérience !!!,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,130 personnes ont trouvé cela utile,3,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AE6J2VIBH6KBJPEO2G2PQ3QEUHXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",BON THIERRY,https://www.amazon.fr/gp/customer-reviews/R1GXA9B0Q2592B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"1,0 sur 5 étoiles","grosse déception, Alexa pour l’instant ne sert pas à grand chose à la maison",Couleur: Tissu gris chinéConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,108 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AHW6UYSDHUIDR6I62CZX2A7TA46Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Cynthia M.,https://www.amazon.fr/gp/customer-reviews/R29F3OEYOL8KOV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles","Pas indispensable, c'est marrant !",Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,226 personnes ont trouvé cela utile,5,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AGT3XDDKKH4FDDEUSYEZJIB7WZBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Inde,https://www.amazon.fr/gp/customer-reviews/R29QFDVTE826SO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"2,0 sur 5 étoiles",Perfectible,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,60 personnes ont trouvé cela utile,1,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AGWJKSJNBJUCEIKRO5KVMW355VTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Le Punk,https://www.amazon.fr/gp/customer-reviews/R3HOZWBWT7I0QA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Après 24h,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,59 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AEMUG7H7WS2AS7WJQJDEXRJ6PN4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",R M 7,https://www.amazon.fr/gp/customer-reviews/R3UDJ2U69NDO8L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Multitâche...et plus !,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Achat vérifié,40 personnes ont trouvé cela utile,1,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=dpx_acr_txt?showViewpoints=1#
https://www.amazon.fr/gp/profile/amzn1.account.AFUJALLHG27VQOSGPIT7KEMELSPA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",François,https://www.amazon.fr/gp/customer-reviews/R20NBCRZSI3EVA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"1,0 sur 5 étoiles",Grosse déception du début à la fin,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,27 personnes ont trouvé cela utile,1,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AFUCB5JNY5A4OCK7VUX6KJBJRWYA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Maxime V.,https://www.amazon.fr/gp/customer-reviews/R3VOCN0R4M5YK9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Enceinte puissante sur le plan sonore et design,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,22 personnes ont trouvé cela utile,2,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
